measurement_id,instrument,operator,ref_value,instrument_offset,instrument_error,operator_offset,operator_error,measurement
146,instrument_2,operator_3,50,0,5,0,10,
147,instrument_3,operator_2,50,0,5,0,5,
148,instrument_1,operator_1,50,0,5,0,5,
149,instrument_5,operator_3,50,2,6,0,10,
150,instrument_2,operator_1,50,0,5,0,5,
151,instrument_5,operator_1,50,2,6,0,5,
152,instrument_4,operator_1,50,0,5,0,5,
153,instrument_2,operator_1,50,0,5,0,5,
154,instrument_4,operator_2,50,0,5,0,5,
155,instrument_5,operator_1,50,2,6,0,5,
156,instrument_5,operator_1,50,2,6,0,5,
157,instrument_5,operator_3,50,2,6,0,10,
158,instrument_4,operator_1,50,0,5,0,5,
159,instrument_2,operator_2,50,0,5,0,5,
160,instrument_3,operator_1,50,0,5,0,5,
161,instrument_5,operator_2,50,2,6,0,5,
162,instrument_3,operator_2,50,0,5,0,5,
163,instrument_1,operator_1,50,0,5,0,5,
164,instrument_1,operator_3,50,0,5,0,10,
165,instrument_3,operator_3,50,0,5,0,10,
166,instrument_4,operator_2,50,0,5,0,5,
167,instrument_1,operator_1,50,0,5,0,5,
168,instrument_2,operator_3,50,0,5,0,10,
169,instrument_2,operator_3,50,0,5,0,10,
170,instrument_4,operator_2,50,0,5,0,5,
171,instrument_5,operator_3,50,2,6,0,10,
172,instrument_1,operator_2,50,0,5,0,5,
173,instrument_4,operator_1,50,0,5,0,5,
174,instrument_4,operator_2,50,0,5,0,5,
175,instrument_1,operator_1,50,0,5,0,5,
176,instrument_2,operator_1,50,0,5,0,5,
177,instrument_4,operator_2,50,0,5,0,5,
178,instrument_1,operator_3,50,0,5,0,10,
179,instrument_2,operator_2,50,0,5,0,5,
180,instrument_3,operator_3,50,0,5,0,10,
181,instrument_2,operator_1,50,0,5,0,5,
182,instrument_2,operator_2,50,0,5,0,5,
183,instrument_3,operator_1,50,0,5,0,5,
184,instrument_3,operator_2,50,0,5,0,5,
185,instrument_3,operator_1,50,0,5,0,5,
186,instrument_2,operator_3,50,0,5,0,10,
187,instrument_2,operator_3,50,0,5,0,10,
188,instrument_5,operator_2,50,2,6,0,5,
189,instrument_5,operator_3,50,2,6,0,10,
190,instrument_4,operator_3,50,0,5,0,10,
191,instrument_3,operator_2,50,0,5,0,5,
192,instrument_5,operator_1,50,2,6,0,5,
193,instrument_3,operator_2,50,0,5,0,5,
194,instrument_4,operator_1,50,0,5,0,5,
195,instrument_5,operator_1,50,2,6,0,5,
196,instrument_2,operator_2,50,0,5,0,5,
197,instrument_4,operator_1,50,0,5,0,5,
198,instrument_4,operator_1,50,0,5,0,5,
199,instrument_4,operator_3,50,0,5,0,10,
200,instrument_1,operator_3,50,0,5,0,10,
201,instrument_5,operator_3,50,2,6,0,10,
202,instrument_3,operator_3,50,0,5,0,10,
203,instrument_4,operator_2,50,0,5,0,5,
204,instrument_5,operator_2,50,2,6,0,5,
205,instrument_4,operator_3,50,0,5,0,10,
206,instrument_3,operator_3,50,0,5,0,10,
207,instrument_2,operator_1,50,0,5,0,5,
208,instrument_3,operator_2,50,0,5,0,5,
209,instrument_3,operator_1,50,0,5,0,5,
210,instrument_2,operator_1,50,0,5,0,5,
211,instrument_2,operator_1,50,0,5,0,5,
212,instrument_1,operator_1,50,0,5,0,5,
213,instrument_5,operator_2,50,2,6,0,5,
214,instrument_1,operator_1,50,0,5,0,5,
215,instrument_3,operator_2,50,0,5,0,5,
216,instrument_4,operator_2,50,0,5,0,5,
217,instrument_5,operator_1,50,2,6,0,5,
218,instrument_4,operator_1,50,0,5,0,5,
219,instrument_4,operator_3,50,0,5,0,10,
220,instrument_4,operator_3,50,0,5,0,10,
221,instrument_3,operator_3,50,0,5,0,10,
222,instrument_5,operator_3,50,2,6,0,10,
223,instrument_1,operator_3,50,0,5,0,10,
224,instrument_5,operator_2,50,2,6,0,5,
225,instrument_4,operator_3,50,0,5,0,10,
226,instrument_2,operator_1,50,0,5,0,5,
227,instrument_4,operator_2,50,0,5,0,5,
228,instrument_4,operator_1,50,0,5,0,5,
229,instrument_4,operator_2,50,0,5,0,5,
230,instrument_2,operator_2,50,0,5,0,5,
231,instrument_3,operator_2,50,0,5,0,5,
232,instrument_2,operator_1,50,0,5,0,5,
233,instrument_5,operator_1,50,2,6,0,5,
234,instrument_3,operator_3,50,0,5,0,10,
235,instrument_3,operator_1,50,0,5,0,5,
236,instrument_4,operator_3,50,0,5,0,10,
237,instrument_4,operator_1,50,0,5,0,5,
238,instrument_1,operator_3,50,0,5,0,10,
239,instrument_3,operator_1,50,0,5,0,5,
240,instrument_4,operator_2,50,0,5,0,5,
241,instrument_3,operator_2,50,0,5,0,5,
242,instrument_1,operator_2,50,0,5,0,5,
243,instrument_2,operator_2,50,0,5,0,5,
244,instrument_2,operator_3,50,0,5,0,10,
245,instrument_5,operator_1,50,2,6,0,5,
246,instrument_1,operator_2,50,0,5,0,5,
247,instrument_1,operator_3,50,0,5,0,10,
248,instrument_2,operator_2,50,0,5,0,5,
249,instrument_5,operator_1,50,2,6,0,5,
250,instrument_3,operator_3,50,0,5,0,10,
251,instrument_3,operator_3,50,0,5,0,10,
252,instrument_5,operator_2,50,2,6,0,5,
253,instrument_3,operator_2,50,0,5,0,5,
254,instrument_3,operator_1,50,0,5,0,5,
255,instrument_4,operator_3,50,0,5,0,10,
256,instrument_4,operator_2,50,0,5,0,5,
257,instrument_3,operator_1,50,0,5,0,5,
258,instrument_4,operator_3,50,0,5,0,10,
259,instrument_2,operator_2,50,0,5,0,5,
260,instrument_5,operator_3,50,2,6,0,10,
261,instrument_1,operator_2,50,0,5,0,5,
262,instrument_2,operator_1,50,0,5,0,5,
263,instrument_5,operator_3,50,2,6,0,10,
264,instrument_2,operator_3,50,0,5,0,10,
265,instrument_2,operator_1,50,0,5,0,5,
266,instrument_2,operator_2,50,0,5,0,5,
267,instrument_5,operator_3,50,2,6,0,10,
268,instrument_4,operator_3,50,0,5,0,10,
269,instrument_4,operator_1,50,0,5,0,5,
270,instrument_4,operator_3,50,0,5,0,10,
271,instrument_5,operator_1,50,2,6,0,5,
272,instrument_1,operator_3,50,0,5,0,10,
273,instrument_3,operator_1,50,0,5,0,5,
274,instrument_1,operator_1,50,0,5,0,5,
275,instrument_5,operator_2,50,2,6,0,5,
276,instrument_5,operator_2,50,2,6,0,5,
277,instrument_3,operator_1,50,0,5,0,5,
278,instrument_1,operator_2,50,0,5,0,5,
279,instrument_5,operator_2,50,2,6,0,5,
280,instrument_2,operator_1,50,0,5,0,5,
281,instrument_1,operator_2,50,0,5,0,5,
282,instrument_4,operator_3,50,0,5,0,10,
283,instrument_2,operator_2,50,0,5,0,5,
284,instrument_1,operator_1,50,0,5,0,5,
285,instrument_5,operator_2,50,2,6,0,5,
286,instrument_2,operator_1,50,0,5,0,5,
287,instrument_2,operator_2,50,0,5,0,5,
288,instrument_3,operator_3,50,0,5,0,10,
289,instrument_2,operator_3,50,0,5,0,10,
290,instrument_1,operator_2,50,0,5,0,5,
291,instrument_1,operator_3,50,0,5,0,10,
292,instrument_3,operator_3,50,0,5,0,10,
293,instrument_4,operator_1,50,0,5,0,5,
294,instrument_3,operator_3,50,0,5,0,10,
295,instrument_2,operator_2,50,0,5,0,5,
296,instrument_1,operator_1,50,0,5,0,5,
297,instrument_5,operator_1,50,2,6,0,5,
298,instrument_1,operator_2,50,0,5,0,5,
299,instrument_4,operator_1,50,0,5,0,5,
300,instrument_3,operator_2,50,0,5,0,5,
301,instrument_4,operator_2,50,0,5,0,5,
302,instrument_5,operator_2,50,2,6,0,5,
303,instrument_3,operator_3,50,0,5,0,10,
304,instrument_1,operator_1,50,0,5,0,5,
305,instrument_2,operator_3,50,0,5,0,10,
306,instrument_3,operator_3,50,0,5,0,10,
307,instrument_5,operator_1,50,2,6,0,5,
308,instrument_3,operator_3,50,0,5,0,10,
309,instrument_1,operator_1,50,0,5,0,5,
310,instrument_4,operator_1,50,0,5,0,5,
311,instrument_4,operator_3,50,0,5,0,10,
312,instrument_1,operator_1,50,0,5,0,5,
313,instrument_4,operator_2,50,0,5,0,5,
314,instrument_4,operator_2,50,0,5,0,5,
315,instrument_2,operator_3,50,0,5,0,10,
316,instrument_2,operator_3,50,0,5,0,10,
317,instrument_1,operator_3,50,0,5,0,10,
318,instrument_1,operator_2,50,0,5,0,5,
319,instrument_5,operator_2,50,2,6,0,5,
320,instrument_5,operator_2,50,2,6,0,5,
321,instrument_5,operator_1,50,2,6,0,5,
322,instrument_5,operator_3,50,2,6,0,10,
323,instrument_1,operator_3,50,0,5,0,10,
324,instrument_3,operator_3,50,0,5,0,10,
325,instrument_5,operator_2,50,2,6,0,5,
326,instrument_1,operator_3,50,0,5,0,10,
327,instrument_5,operator_1,50,2,6,0,5,
328,instrument_2,operator_2,50,0,5,0,5,
329,instrument_4,operator_3,50,0,5,0,10,
330,instrument_4,operator_1,50,0,5,0,5,
331,instrument_4,operator_3,50,0,5,0,10,
332,instrument_4,operator_2,50,0,5,0,5,
333,instrument_2,operator_2,50,0,5,0,5,
334,instrument_1,operator_2,50,0,5,0,5,
335,instrument_1,operator_2,50,0,5,0,5,
336,instrument_2,operator_3,50,0,5,0,10,
337,instrument_3,operator_2,50,0,5,0,5,
338,instrument_5,operator_1,50,2,6,0,5,
339,instrument_5,operator_2,50,2,6,0,5,
340,instrument_2,operator_2,50,0,5,0,5,
341,instrument_5,operator_1,50,2,6,0,5,
342,instrument_3,operator_2,50,0,5,0,5,
343,instrument_1,operator_2,50,0,5,0,5,
344,instrument_5,operator_2,50,2,6,0,5,
345,instrument_2,operator_3,50,0,5,0,10,
346,instrument_2,operator_1,50,0,5,0,5,
347,instrument_5,operator_3,50,2,6,0,10,
348,instrument_4,operator_3,50,0,5,0,10,
349,instrument_2,operator_2,50,0,5,0,5,
350,instrument_1,operator_2,50,0,5,0,5,
351,instrument_3,operator_2,50,0,5,0,5,
352,instrument_2,operator_1,50,0,5,0,5,
353,instrument_1,operator_3,50,0,5,0,10,
354,instrument_3,operator_2,50,0,5,0,5,
355,instrument_1,operator_3,50,0,5,0,10,
356,instrument_4,operator_1,50,0,5,0,5,
357,instrument_1,operator_2,50,0,5,0,5,
358,instrument_5,operator_3,50,2,6,0,10,
359,instrument_2,operator_2,50,0,5,0,5,
360,instrument_3,operator_2,50,0,5,0,5,
361,instrument_2,operator_2,50,0,5,0,5,
362,instrument_1,operator_1,50,0,5,0,5,
363,instrument_1,operator_1,50,0,5,0,5,
364,instrument_5,operator_3,50,2,6,0,10,
365,instrument_3,operator_3,50,0,5,0,10,
366,instrument_1,operator_3,50,0,5,0,10,
367,instrument_2,operator_2,50,0,5,0,5,
368,instrument_1,operator_3,50,0,5,0,10,
369,instrument_1,operator_3,50,0,5,0,10,
370,instrument_4,operator_3,50,0,5,0,10,
371,instrument_3,operator_3,50,0,5,0,10,
372,instrument_2,operator_3,50,0,5,0,10,
373,instrument_2,operator_3,50,0,5,0,10,
374,instrument_5,operator_3,50,2,6,0,10,
375,instrument_3,operator_3,50,0,5,0,10,
376,instrument_1,operator_2,50,0,5,0,5,
377,instrument_4,operator_3,50,0,5,0,10,
378,instrument_4,operator_1,50,0,5,0,5,
379,instrument_3,operator_1,50,0,5,0,5,
380,instrument_1,operator_2,50,0,5,0,5,
381,instrument_3,operator_3,50,0,5,0,10,
382,instrument_2,operator_2,50,0,5,0,5,
383,instrument_2,operator_3,50,0,5,0,10,
384,instrument_2,operator_3,50,0,5,0,10,
385,instrument_3,operator_1,50,0,5,0,5,
386,instrument_2,operator_1,50,0,5,0,5,
387,instrument_3,operator_2,50,0,5,0,5,
388,instrument_1,operator_1,50,0,5,0,5,
389,instrument_5,operator_1,50,2,6,0,5,
390,instrument_3,operator_3,50,0,5,0,10,
391,instrument_1,operator_2,50,0,5,0,5,
392,instrument_2,operator_3,50,0,5,0,10,
393,instrument_2,operator_3,50,0,5,0,10,
394,instrument_1,operator_1,50,0,5,0,5,
395,instrument_1,operator_3,50,0,5,0,10,
396,instrument_5,operator_3,50,2,6,0,10,
397,instrument_3,operator_3,50,0,5,0,10,
398,instrument_4,operator_2,50,0,5,0,5,
399,instrument_5,operator_1,50,2,6,0,5,
400,instrument_3,operator_3,50,0,5,0,10,
401,instrument_5,operator_1,50,2,6,0,5,
402,instrument_1,operator_1,50,0,5,0,5,
403,instrument_5,operator_1,50,2,6,0,5,
404,instrument_4,operator_3,50,0,5,0,10,
405,instrument_3,operator_2,50,0,5,0,5,
406,instrument_3,operator_3,50,0,5,0,10,
407,instrument_5,operator_3,50,2,6,0,10,
408,instrument_4,operator_3,50,0,5,0,10,
409,instrument_5,operator_1,50,2,6,0,5,
410,instrument_4,operator_1,50,0,5,0,5,
411,instrument_3,operator_1,50,0,5,0,5,
412,instrument_3,operator_3,50,0,5,0,10,
413,instrument_3,operator_2,50,0,5,0,5,
414,instrument_2,operator_2,50,0,5,0,5,
415,instrument_5,operator_2,50,2,6,0,5,
416,instrument_1,operator_1,50,0,5,0,5,
417,instrument_1,operator_3,50,0,5,0,10,
418,instrument_4,operator_2,50,0,5,0,5,
419,instrument_1,operator_2,50,0,5,0,5,
420,instrument_2,operator_3,50,0,5,0,10,
421,instrument_1,operator_3,50,0,5,0,10,
422,instrument_5,operator_1,50,2,6,0,5,
423,instrument_5,operator_1,50,2,6,0,5,
424,instrument_4,operator_2,50,0,5,0,5,
425,instrument_5,operator_2,50,2,6,0,5,
426,instrument_2,operator_3,50,0,5,0,10,
427,instrument_5,operator_3,50,2,6,0,10,
428,instrument_5,operator_3,50,2,6,0,10,
429,instrument_4,operator_2,50,0,5,0,5,
430,instrument_3,operator_1,50,0,5,0,5,
431,instrument_3,operator_1,50,0,5,0,5,
432,instrument_2,operator_2,50,0,5,0,5,
433,instrument_5,operator_2,50,2,6,0,5,
434,instrument_4,operator_1,50,0,5,0,5,
435,instrument_1,operator_2,50,0,5,0,5,
436,instrument_3,operator_1,50,0,5,0,5,
437,instrument_3,operator_2,50,0,5,0,5,
438,instrument_3,operator_3,50,0,5,0,10,
439,instrument_5,operator_2,50,2,6,0,5,
440,instrument_5,operator_3,50,2,6,0,10,
441,instrument_5,operator_1,50,2,6,0,5,
442,instrument_2,operator_2,50,0,5,0,5,
443,instrument_3,operator_2,50,0,5,0,5,
444,instrument_5,operator_2,50,2,6,0,5,
445,instrument_5,operator_3,50,2,6,0,10,
446,instrument_4,operator_1,50,0,5,0,5,
447,instrument_1,operator_3,50,0,5,0,10,
448,instrument_2,operator_3,50,0,5,0,10,
449,instrument_2,operator_1,50,0,5,0,5,
450,instrument_1,operator_1,50,0,5,0,5,
451,instrument_5,operator_1,50,2,6,0,5,
452,instrument_5,operator_1,50,2,6,0,5,
453,instrument_5,operator_1,50,2,6,0,5,
454,instrument_1,operator_1,50,0,5,0,5,
455,instrument_1,operator_3,50,0,5,0,10,
456,instrument_2,operator_2,50,0,5,0,5,
457,instrument_4,operator_1,50,0,5,0,5,
458,instrument_5,operator_3,50,2,6,0,10,
459,instrument_1,operator_2,50,0,5,0,5,
460,instrument_5,operator_1,50,2,6,0,5,
461,instrument_3,operator_1,50,0,5,0,5,
462,instrument_5,operator_2,50,2,6,0,5,
463,instrument_5,operator_1,50,2,6,0,5,
464,instrument_2,operator_1,50,0,5,0,5,
465,instrument_3,operator_3,50,0,5,0,10,
466,instrument_4,operator_1,50,0,5,0,5,
467,instrument_1,operator_2,50,0,5,0,5,
468,instrument_4,operator_1,50,0,5,0,5,
469,instrument_4,operator_3,50,0,5,0,10,
470,instrument_4,operator_1,50,0,5,0,5,
471,instrument_2,operator_2,50,0,5,0,5,
472,instrument_4,operator_2,50,0,5,0,5,
473,instrument_1,operator_1,50,0,5,0,5,
474,instrument_2,operator_1,50,0,5,0,5,
475,instrument_3,operator_3,50,0,5,0,10,
476,instrument_4,operator_2,50,0,5,0,5,
477,instrument_2,operator_1,50,0,5,0,5,
478,instrument_1,operator_1,50,0,5,0,5,
479,instrument_4,operator_3,50,0,5,0,10,
480,instrument_2,operator_2,50,0,5,0,5,
481,instrument_2,operator_2,50,0,5,0,5,
482,instrument_3,operator_3,50,0,5,0,10,
483,instrument_3,operator_1,50,0,5,0,5,
484,instrument_3,operator_3,50,0,5,0,10,
485,instrument_3,operator_1,50,0,5,0,5,
486,instrument_3,operator_3,50,0,5,0,10,
487,instrument_1,operator_2,50,0,5,0,5,
488,instrument_2,operator_3,50,0,5,0,10,
489,instrument_4,operator_2,50,0,5,0,5,
490,instrument_2,operator_1,50,0,5,0,5,
491,instrument_4,operator_1,50,0,5,0,5,
492,instrument_3,operator_2,50,0,5,0,5,
493,instrument_2,operator_2,50,0,5,0,5,
494,instrument_3,operator_1,50,0,5,0,5,
495,instrument_3,operator_2,50,0,5,0,5,
496,instrument_4,operator_1,50,0,5,0,5,
497,instrument_2,operator_1,50,0,5,0,5,
498,instrument_5,operator_1,50,2,6,0,5,
499,instrument_3,operator_3,50,0,5,0,10,
500,instrument_3,operator_2,50,0,5,0,5,
501,instrument_4,operator_2,50,0,5,0,5,
502,instrument_2,operator_2,50,0,5,0,5,
503,instrument_2,operator_3,50,0,5,0,10,
504,instrument_5,operator_1,50,2,6,0,5,
505,instrument_1,operator_2,50,0,5,0,5,
506,instrument_5,operator_1,50,2,6,0,5,
507,instrument_1,operator_2,50,0,5,0,5,
508,instrument_4,operator_1,50,0,5,0,5,
509,instrument_3,operator_3,50,0,5,0,10,
510,instrument_5,operator_3,50,2,6,0,10,
511,instrument_1,operator_2,50,0,5,0,5,
512,instrument_1,operator_3,50,0,5,0,10,
513,instrument_1,operator_2,50,0,5,0,5,
514,instrument_4,operator_3,50,0,5,0,10,
515,instrument_3,operator_3,50,0,5,0,10,
516,instrument_4,operator_3,50,0,5,0,10,
517,instrument_2,operator_2,50,0,5,0,5,
518,instrument_3,operator_2,50,0,5,0,5,
519,instrument_2,operator_3,50,0,5,0,10,
520,instrument_1,operator_1,50,0,5,0,5,
521,instrument_4,operator_1,50,0,5,0,5,
522,instrument_2,operator_1,50,0,5,0,5,
523,instrument_3,operator_2,50,0,5,0,5,
524,instrument_2,operator_3,50,0,5,0,10,
525,instrument_4,operator_2,50,0,5,0,5,
526,instrument_1,operator_1,50,0,5,0,5,
527,instrument_2,operator_2,50,0,5,0,5,
528,instrument_5,operator_1,50,2,6,0,5,
529,instrument_3,operator_3,50,0,5,0,10,
530,instrument_1,operator_3,50,0,5,0,10,
531,instrument_3,operator_2,50,0,5,0,5,
532,instrument_3,operator_2,50,0,5,0,5,
533,instrument_3,operator_1,50,0,5,0,5,
534,instrument_5,operator_1,50,2,6,0,5,
535,instrument_3,operator_3,50,0,5,0,10,
536,instrument_4,operator_2,50,0,5,0,5,
537,instrument_3,operator_2,50,0,5,0,5,
538,instrument_5,operator_2,50,2,6,0,5,
539,instrument_5,operator_1,50,2,6,0,5,
540,instrument_2,operator_3,50,0,5,0,10,
541,instrument_2,operator_3,50,0,5,0,10,
542,instrument_4,operator_3,50,0,5,0,10,
543,instrument_5,operator_3,50,2,6,0,10,
544,instrument_5,operator_2,50,2,6,0,5,
545,instrument_5,operator_1,50,2,6,0,5,
546,instrument_2,operator_1,50,0,5,0,5,
547,instrument_5,operator_1,50,2,6,0,5,
548,instrument_1,operator_3,50,0,5,0,10,
549,instrument_4,operator_3,50,0,5,0,10,
550,instrument_4,operator_2,50,0,5,0,5,
551,instrument_5,operator_1,50,2,6,0,5,
552,instrument_3,operator_2,50,0,5,0,5,
553,instrument_4,operator_3,50,0,5,0,10,
554,instrument_4,operator_3,50,0,5,0,10,
555,instrument_4,operator_1,50,0,5,0,5,
556,instrument_1,operator_3,50,0,5,0,10,
557,instrument_3,operator_1,50,0,5,0,5,
558,instrument_5,operator_1,50,2,6,0,5,
559,instrument_3,operator_3,50,0,5,0,10,
560,instrument_4,operator_2,50,0,5,0,5,
561,instrument_2,operator_2,50,0,5,0,5,
562,instrument_4,operator_3,50,0,5,0,10,
563,instrument_3,operator_1,50,0,5,0,5,
564,instrument_3,operator_1,50,0,5,0,5,
565,instrument_5,operator_1,50,2,6,0,5,
566,instrument_4,operator_2,50,0,5,0,5,
567,instrument_5,operator_2,50,2,6,0,5,
568,instrument_1,operator_3,50,0,5,0,10,
569,instrument_3,operator_1,50,0,5,0,5,
570,instrument_2,operator_3,50,0,5,0,10,
571,instrument_1,operator_1,50,0,5,0,5,
572,instrument_5,operator_1,50,2,6,0,5,
573,instrument_2,operator_1,50,0,5,0,5,
574,instrument_3,operator_3,50,0,5,0,10,
575,instrument_5,operator_3,50,2,6,0,10,
576,instrument_2,operator_3,50,0,5,0,10,
577,instrument_4,operator_2,50,0,5,0,5,
578,instrument_5,operator_2,50,2,6,0,5,
579,instrument_2,operator_1,50,0,5,0,5,
